typo,orig,historique,typvoie,arrdt,quartier,longueur,largeur,typo_normalized,id,nom,insee,adresse,url,type_usagers,gratuit,nb_places,nb_pr,nb_pmr,nb_voitures_electriques,nb_velo,nb_2r_el,nb_autopartage,nb_2_rm,nb_covoit,hauteur_max,num_siret,Xlong,Ylat,tarif_pmr,tarif_1h,tarif_2h,tarif_3h,tarif_4h,tarif_24h,abo_resident,abo_non_resident,type_ouvrage,info,id_local,adresse_normalized,typo_match
RUE DE CHARENTON,Conduit à la commune de Charenton.,"Au XVIIIe siècle, cette voie était dénommée rue de la Planchette entre la place du Colonel Bourgoin et la rue Montgallet, et rue de la Vallée de Fécamp, entre la rue Montgallet et le boulevard Poniatowski. De 1800 à 1815, elle a porté le nom de rue de Marengo. La partie comprise entre les rues de Rambouillet et Erard a été englobé dans la place du Colonel Bourgoin en 1972. Précédemment partie de la route nationale n° 5.",rue,12e,"Bercy,Picpus,Quinze-Vingts",3150.0,16.0,ruedecharenton,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,75114-P-117,MAINE BASCH ALESIA,75114.0,204 ter avenue du Maine. 75014. Paris,https://fr.parkindigo.com/parking/paris-75014/alesia-75140400,tous,0.0,481.0,0.0,10.0,2.0,5.0,0.0,7.0,48.0,0.0,185.0,69200653900112.0,2.3257196,48.8302751,tarif_special,4.4,8.8,13.2,17.6,39.6,,193.0,ouvrage,autre entree = 205 ter avenue du Maine. 75014. Paris|tarif PMR = 2.10 euros,,204teravenuedumaine75014paris,
,,,,,,,,,75115-P-034,CITROEN CEVENNES,75115.0,45 bis rue Leblanc. 75015. Paris,https://fr.parkindigo.com/parking/paris-75015/citroen-cevennes-75150300,tous,0.0,572.0,0.0,12.0,0.0,6.0,0.0,0.0,18.0,0.0,190.0,34900901900051.0,2.276337,48.838752,tarif_special,3.6,7.2,10.8,14.4,32.4,159.0,199.0,ouvrage,tarif petit rouleur -25 % = contacter le parc|tarif PMR = 1.70 euros,,45bisrueleblanc75015paris,
,,,,,,,,,75115-P-049,PORTE DE VERSAILLES,75115.0,40 ter boulevard Victor. 75015. Paris,https://www.sags.fr/parking-paris/paris-porte-de-versailles.html,tous,0.0,474.0,0.0,10.0,4.0,10.0,0.0,2.0,20.0,0.0,190.0,38933781700065.0,2.285401,48.833644,tarif_special,4.6,9.2,13.8,18.4,46.0,180.0,225.0,ouvrage,tarif petit rouleur -25 % = contacter le parc|tarif PMR = 2.30 euros,,40terboulevardvictor75015paris,
,,,,,,,,,75115-P-157,FREMICOURT,75115.0,13 ter rue Fremicourt. 75015. Paris,https://fr.parkindigo.com/parking/paris-75015/fremicourt-75150700,abonnés,0.0,204.0,0.0,5.0,2.0,21.0,0.0,0.0,31.0,0.0,210.0,72204380902081.0,2.297397,48.847342,,,,,,,162.4,203.0,ouvrage,tarif petit rouleur -25 % = contacter le parc,,13terruefremicourt75015paris,
,,,,,,,,,75115-P-165,VELOSTATION MAINEMONTPARNASSE,75115.0,22 M rue de l'Arrivée. 75015. Paris,https://fr.parkindigo.com/parking/paris-75015/velostation-gare-montparnasse-75150800,abonnés,0.0,0.0,0.0,0.0,0.0,385.0,0.0,0.0,0.0,0.0,230.0,30464607800143.0,2.321009,48.842669,,,,,,,,,ouvrage,,,22mruedelarrivee75015paris,
,,,,,,,,,75116-P-012,FOCH,75116.0,4 ter avenue Foch. 75116. Paris,https://fr.parkindigo.com/parking/paris-75016/foch-75161300,tous,0.0,2175.0,150.0,22.0,0.0,3.0,0.0,0.0,29.0,0.0,190.0,39418789200440.0,2.291993,48.873649,tarif_special,4.5,9.0,13.5,18.0,45.0,213.5,305.0,ouvrage,autres entrees = 37 ter avenue Foch. 75116. Paris et 45 M avenue Foch. 75116. Paris|tarif PMR = 2.25 euros,,4teravenuefoch75116paris,
,,,,,,,,,75116-P-013,EYLAU,75116.0,6 avenue d Eylau. 75116. Paris,https://fr.parkindigo.com,abonnés,0.0,174.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,190.0,72205418600019.0,2.286144,48.863766,,,,,,,,,ouvrage,abonnes tres longue duree,,6avenuedeylau75116paris,
,,,,,,,,,75116-P-016,PASSY,75116.0,82 ter rue de Passy. 75116. Paris,https://fr.parkindigo.com/parking/paris-75016/passy-75161100,tous,0.0,351.0,0.0,8.0,3.0,20.0,0.0,0.0,14.0,0.0,190.0,72204380902081.0,2.275325,48.858192,tarif_special,4.4,8.8,13.2,17.6,37.8,290.0,363.0,ouvrage,tarif petit rouleur -25 % = contacter le parc|tarif PMR = 2.20 euros,,82terruedepassy75116paris,
,,,,,,,,,75116-P-043,PORTE DE SAINT CLOUD,75116.0,10 avenue de la Porte de Saint Cloud. 75016. Paris,https://fr.parkindigo.com/parking/paris-75016/porte-de-saint-cloud-75161400,tous,0.0,1224.0,100.0,28.0,3.0,12.0,0.0,0.0,58.0,0.0,190.0,39418789200440.0,2.253734,48.838792,tarif_special,4.1,8.2,12.3,16.4,36.9,140.0,175.0,ouvrage,tarif petit rouleur -25 % = contacter le parc|tarif PMR = 2.05 euros,,10avenuedelaportedesaintcloud75016paris,
,,,,,,,,,75116-P-053,PLACE VICTOR HUGO,75116.0,76 ter avenue Victor Hugo. 75116. Paris,https://fr.parkindigo.com/parking/paris-75016/place-victor-hugo-75160400,tous,0.0,538.0,0.0,12.0,6.0,0.0,0.0,0.0,28.0,0.0,190.0,64202088700419.0,2.284541,48.869389,tarif_special,4.6,9.2,13.8,18.4,39.6,,315.0,ouvrage,tarif PMR = 2.30 euros,,76teravenuevictorhugo75116paris,
